"Category","Canonical_ID","Canonical_Type","Hits_in_Screening","Aliases (same name)","CVD_risk","Obesity_risk","Core","Pathway","Key Molecular Nodes","extract_type","cell_lines","parameter","effect_on_target",""
"","gaba","new_food","10","GABA; γ-Aminobutyric acid","","","Cholesterol efflux; Cholesterol flux balance; Endothelial energy sensing; Inflammatory lipid signaling; LDL receptor preservation; Macrophage lipid uptake","AMPK endothelial stress-response pathway; Hepatic lipoprotein clearance pathway; Lipid-induced macrophage activation pathway; PCSK9–LDLR degradation pathway; Reverse cholesterol transport initiation pathway; Scavenger receptor–mediated oxLDL uptake pathway","ABCA1 ↑ · ABCG1 ↑ · ApoA-I interaction ↑; AMPK ↑ · ACC ↓ · Mitochondrial efficiency ↑; ApoB clearance ↑ · LDL particle residence time ↓ · LDL-C ↓ (functional); CD36 ↓ · OLR1 (LOX-1) ↓ · SR-A1 ↓; NF-κB ↓ · NLRP3 ↓ · IL-1β ↓; PCSK9 ↓ · LDLR surface stability ↑ · LRP1 ↑","aqueous; pre-germinated brown rice extract; spore extract","C57BL/6 mice; NPC mice; human embryonic kidney cells; human monocyte-derived macrophages; laying hens; mice; rat","0.4 µM; 100 mg/kg BW; 40, 90, and 140 mg/kg; 720 mg/kg for 14 days","decreased ACC GABA/w levels in adolescents with MDD compared to controls, with a stronger decrease in anhedonic patients; decreased TNF-α, NF-κB, NLRP3, and IL-1β levels in the hypothalamus of CUMS mice; down-regulated CD36 and LOX-1 expression, up-regulated ABCA1 and ABCG1 expression, repressed NF-κB activation, decreased TNF-α production; improved SOD activity by normalizing antioxidative enzyme activities, suppressed CD36 expression, promoted ATGL and HSL expression, and no specific effect on GSH was mentioned; increased ABCA1 levels, enhanced PI3K/AKT signaling, and enhanced JAK2/STAT3 signaling; inhibited the NF-κB/NLRP3 inflammatory pathway; interacts with LRP1 through ARH protein; reduced PCSK9 and LDL-C levels in the liver",""
"","gastrodia_elata","herb","10","Gastrodia; Gastrodia elata; Tian Ma","","","Cholesterol flux balance; Endothelial energy sensing; Hepatic cholesterol sensing; Inflammatory lipid signaling; LDL receptor preservation","AMPK endothelial stress-response pathway; Hepatic lipoprotein clearance pathway; Lipid-induced macrophage activation pathway; PCSK9–LDLR degradation pathway; SREBP2–LDLR cholesterol homeostasis pathway","AMPK ↑ · ACC ↓ · Mitochondrial efficiency ↑; ApoB clearance ↑ · LDL particle residence time ↓ · LDL-C ↓ (functional); NF-κB ↓ · NLRP3 ↓ · IL-1β ↓; PCSK9 ↓ · LDLR surface stability ↑ · LRP1 ↑; SREBF2 ↑ · LDLR ↑ · SCAP ↑","gastrodia extract; polysaccharide; water","3xTg-AD mice, SH-SY5Y, bEnd.3; Sprague Dawley rats; mice; rat; rats","0.25 g/kg, 0.5 g/kg, 1 g/kg; 0.3 g/kg (GEB-L), 1 g/kg (GEB-H); 100 mg/kg/day for 14 days; 4 and 8 mg/kg","downregulated NF-κB p65, TLR4, and TNF-α expression; increased SOD levels in the hippocampus; decreased LDL-C levels in serum; decreased TNF-α and IL-1β contents in the hippocampus; increased BDNF expression; decreased NLRP3 inflammasome activation; inhibited STAT3, decreased PCSK9 expression, and increased LDLR transcription; inhibited the NF-κB/NLRP3 pathway and decreased IL-1β levels in 3xTg-AD mice, SH-SY5Y, and bEnd.3 cells; potentiating STAT3 phosphorylation and attenuating AMPK phosphorylation; reduced LDL-C in peripheral blood; reduced the induction of TNF-α in the ACC; upregulates AMPK through the AMPK/mTOR/ULK1 signaling pathway",""
"","morus_alba","herb","9","Morus alba; Mulberry fruit; Mulberry leaf","","","Cholesterol efflux; Cholesterol flux balance; Endothelial energy sensing; Inflammatory lipid signaling; LDL receptor preservation; Macrophage lipid uptake","AMPK endothelial stress-response pathway; Hepatic lipoprotein clearance pathway; Lipid-induced macrophage activation pathway; PCSK9–LDLR degradation pathway; Reverse cholesterol transport initiation pathway; Scavenger receptor–mediated oxLDL uptake pathway","ABCA1 ↑ · ABCG1 ↑ · ApoA-I interaction ↑; AMPK ↑ · ACC ↓ · Mitochondrial efficiency ↑; ApoB clearance ↑ · LDL particle residence time ↓ · LDL-C ↓ (functional); CD36 ↓ · OLR1 (LOX-1) ↓ · SR-A1 ↓; NF-κB ↓ · NLRP3 ↓ · IL-1β ↓; PCSK9 ↓ · LDLR surface stability ↑ · LRP1 ↑","extract; leaf; leaves extract; mulberry leaf extract; polyphenolic extract; polysaccharides; root extract","Caco-2; HepG2, Huh7; L6, db/db mice; T2DM mice; db/db mice; macrophages; mice; rat; rats on high-fat diet","0.4%, 0.8%, 1.2% MLE in diet; 1 mg/mL; 1.0 mg/mL (MLE), 0.5 mg/mL (MLPE); 400, 800, 1200 mg/kg; 50 or 100 mg/kg body weight; 500 mg/kg/day; 65% inhibition at 100 μg/mL; doses of 10, 50, and 250 mg/kg BW","attenuated secretion of TNF-α and IL-1β and inhibited NF-κB nuclear translocation; dose-dependently increased AMPK and HSL expressions, decreased ACC and TNF-α expressions; up-regulated PPARα in mature adipocytes; increased SOD activity, decreased LDL-C levels; increased phosphorylated AMPK (Thr 172); modulated the expression of ATP-binding cassette transporter A1 (ABCA1); reduced PCSK9 mRNA and protein levels with maximal reduction at 1 mg/mL; reduced ROS formation by 46% at 0.5 mg/mL, increased SOD-1 levels, and reduced CD36 expression; reversed the abnormal expression of inflammation markers (IL-1β, TNF-α, NF-κB); significantly decreased LDL-C levels",""
"","astragalus_membranaceus","herb","8","Astragalus; Astragalus membranaceus; Huang Qi","","","Cholesterol efflux; Cholesterol flux balance; Endothelial energy sensing; Inflammatory lipid signaling; Shear-stress adaptation","AMPK endothelial stress-response pathway; Hepatic lipoprotein clearance pathway; KLF2/KLF4 flow-responsive transcription pathway; Lipid-induced macrophage activation pathway; Reverse cholesterol transport initiation pathway","ABCA1 ↑ · ABCG1 ↑ · ApoA-I interaction ↑; AMPK ↑ · ACC ↓ · Mitochondrial efficiency ↑; ApoB clearance ↑ · LDL particle residence time ↓ · LDL-C ↓ (functional); KLF2 ↑ · KLF4 ↑ · Thrombomodulin ↑; NF-κB ↓ · NLRP3 ↓ · IL-1β ↓","Astragaloside IV; polysaccharide","RCMECs; THP-1 derived foam cells; bone marrow-derived endothelial progenitor cell (EPC), apoE(-/-) mice; mice; rat; rat, podocytes; rats; sliced roots of Angelica sinensis, sliced roots of Astragalus membranaceus, sliced roots of Codonopsis pilosula","300 mg/kg; 600 mg/kg/day; 700 mg/kg/day","activated AMPK; down-regulated expressions of NF-κB and JAK1/STAT3 in HF rats; downregulate LDL-C levels; inhibited NF-κB p65 phosphorylation, up-regulated KLF2 mRNA expression, inhibited TNF-α production; inhibited TNF-α and IL-1β expression; promoted ABCA1 expression; reduced ACC levels via ACC deaminase activity (indirect effect on ACC through bacterial enzyme production); reduced TNF-α and IL-1β levels, decreased NF-κB phosphorylation, and reduced NLRP3 inflammasome and caspase-1 p20 generation in the hippocampus of mice",""
"","curcuma_longa","spices","7","Curcuma longa; Turmeric","","","Cholesterol efflux; Cholesterol flux balance; Hepatic cholesterol sensing; Inflammatory lipid signaling; Shear-stress adaptation","Hepatic lipoprotein clearance pathway; KLF2/KLF4 flow-responsive transcription pathway; Lipid-induced macrophage activation pathway; Reverse cholesterol transport initiation pathway; SREBP2–LDLR cholesterol homeostasis pathway","ABCA1 ↑ · ABCG1 ↑ · ApoA-I interaction ↑; ApoB clearance ↑ · LDL particle residence time ↓ · LDL-C ↓ (functional); KLF2 ↑ · KLF4 ↑ · Thrombomodulin ↑; NF-κB ↓ · NLRP3 ↓ · IL-1β ↓; SREBF2 ↑ · LDLR ↑ · SCAP ↑","Turmeric extract; curcuma oil; extract","A431, A549, MCF7, HeLa; C57BL/6J mice; THP-1; mice; rat","2.0% w/w; 20 µM; 20 μM; 3 g/d; 30, 100 and 300 mg/kg; 50 mg/kg/day","No significant changes observed in LDL-C; increased ABCA1 protein expression; had no effect on CD36 and ABCG1 protein expression; increased KLF4 expression; inhibited NF-κB activation; inhibited the upregulation of NLRP3, TLR4, NF-κB, IL-1β, and TNF-α caused by AFB1; reduced the abundance of LDLR in activated HSCs and suppressed LDLR gene expression; significantly reduced LDL-C levels",""
"","glycine_max","herb","7","Fermented soybean; Glycine max","","","Cholesterol flux balance; Endothelial energy sensing; Hepatic cholesterol sensing; Inflammatory lipid signaling; Leukocyte adhesion control","AMPK endothelial stress-response pathway; Endothelial adhesion molecule regulation pathway; Hepatic lipoprotein clearance pathway; Lipid-induced macrophage activation pathway; SREBP2–LDLR cholesterol homeostasis pathway","AMPK ↑ · ACC ↓ · Mitochondrial efficiency ↑; ApoB clearance ↑ · LDL particle residence time ↓ · LDL-C ↓ (functional); NF-κB ↓ · NLRP3 ↓ · IL-1β ↓; SREBF2 ↑ · LDLR ↑ · SCAP ↑; VCAM1 ↓ · ICAM1 ↓ · E-selectin ↓","ethanolic extract; fermented soybean extract; fermented soybean meal; hexane-isopropanolic (2:1, HIET); supercritical CO2 extraction","Glycine max 'Lee' shoots; HUVEC; RAW 264.7, mice; hepatocytes, mice; male rats, intact female rats, OVX rats; murine peritoneal macrophages; rat","0.1, 0.2, or 0.3 µg/mL (hepatocytes), 20 µg/kg BW, 8 weeks, daily (mice); 1 g/kg/day; 200 and 400 mg kg(-1) body weight","increased hepatic LDLR gene expression in intact female rats; inhibited ACC activity leading to methionine deficiency and foliar chlorosis; inhibited NF-κB and NLRP3, leading to decreased NO, TNF-α, and IL-1β levels; suppressed canonical inflammasome pathway activation; inhibited TNF-α, IL-1β, and IL-6 mRNA expression in the colon and decreased NF-κB activation; reduced E-selectin expression; regulated AMPK, ACC, CPT1A, and PPARα signaling pathways; significantly reduced LDL-C levels (p < 0.01)",""
"","perilla_frutescens","herb","7","Perilla frutescens; Perilla leaf; Perilla seed","caution","caution","Cholesterol flux balance; Endothelial energy sensing; Inflammatory lipid signaling; Leukocyte adhesion control","AMPK endothelial stress-response pathway; Endothelial adhesion molecule regulation pathway; Hepatic lipoprotein clearance pathway; Lipid-induced macrophage activation pathway","AMPK ↑ · ACC ↓ · Mitochondrial efficiency ↑; ApoB clearance ↑ · LDL particle residence time ↓ · LDL-C ↓ (functional); NF-κB ↓ · NLRP3 ↓ · IL-1β ↓; VCAM1 ↓ · ICAM1 ↓ · E-selectin ↓","essential oil; ethanol; extract; oil","HaCaT; J774A1; THP-1; db/db mice, HepG2 cells; hens; mice","0.6% PSM, 1% PSM; 10 µg/ml; 100 mg/kg/day; 20, 40 mg/kg; 3-10 μM","dose-dependently decreased ROS generation, suppressed NO production, and inhibited expressions of TNF-α, IL-1β, and NF-κB; increased SOD in serum and liver, reduced serum LDL-C, decreased ACC and SREBP-1c mRNA expression in liver; increased phosphorylation of AMPK in liver tissues and HepG2 cells; inhibited the induction of ABCA1 and ICAM1; significantly reduced ROS production and TNF-α levels, suppressed overexpression of p-65-NF-κB; suppressed NF-κB activity and TNF-α release in hyperglycemic THP-1 cells",""
"","phytosterols","plant","7","Phytosterols","","","Cholesterol efflux; Cholesterol flux balance; Endothelial energy sensing; Hepatic cholesterol sensing; Inflammatory lipid signaling; LDL receptor preservation; Macrophage lipid uptake","AMPK endothelial stress-response pathway; Hepatic lipoprotein clearance pathway; Lipid-induced macrophage activation pathway; PCSK9–LDLR degradation pathway; Reverse cholesterol transport initiation pathway; SREBP2–LDLR cholesterol homeostasis pathway; Scavenger receptor–mediated oxLDL uptake pathway","ABCA1 ↑ · ABCG1 ↑ · ApoA-I interaction ↑; AMPK ↑ · ACC ↓ · Mitochondrial efficiency ↑; ApoB clearance ↑ · LDL particle residence time ↓ · LDL-C ↓ (functional); CD36 ↓ · OLR1 (LOX-1) ↓ · SR-A1 ↓; NF-κB ↓ · NLRP3 ↓ · IL-1β ↓; PCSK9 ↓ · LDLR surface stability ↑ · LRP1 ↑; SREBF2 ↑ · LDLR ↑ · SCAP ↑","ethanolic; methanolic; nanoparticles; sterol extract; supercritical carbon dioxide (SCO2)","Huh7, HepG2; LDLr-KO male mice; RAW264.7, obese mice; THP-1; keratinocytes, macrophages; mice; miniature pigs","1.6 g/day; 2% w/w; 40 mg/kg b.wt./day (p.o.); 50 μmol/L (sitosterol); 60 µg/mL; dose range of 7.5 to 30 μM","Inhibits NF-κB-p65 translocation, reduces NO and TNF-α production, and decreases ACC expression in a dose-dependent manner, while increasing AMPK protein expression.; NPC1L1 deficiency resulted in down-regulation of ABCA1 mRNA; decreased CD36 expression by 18.2%; increased LDL receptor (LDLR) expression by 240% (liver and intestine), increased NPC1L1 expression (liver and intestine); induced LDLR expression at 60 µg/mL and reduced PCSK9 secretion in a concentration-dependent manner; reduced LDL-C levels and increased GSH levels; suppressed secretion of TNF-α, IL-1β, IL-6, IL-8, and ROS; significantly reduced NLRP3 expression; partial inhibition of NF-κB activation",""
"","portulaca_oleracea","herb","7","Portulaca oleracea; Purslane","","","Cholesterol efflux; Cholesterol flux balance; Inflammatory lipid signaling; Leukocyte adhesion control; Macrophage lipid uptake","Endothelial adhesion molecule regulation pathway; Hepatic lipoprotein clearance pathway; Lipid-induced macrophage activation pathway; Reverse cholesterol transport initiation pathway; Scavenger receptor–mediated oxLDL uptake pathway","ABCA1 ↑ · ABCG1 ↑ · ApoA-I interaction ↑; ApoB clearance ↑ · LDL particle residence time ↓ · LDL-C ↓ (functional); CD36 ↓ · OLR1 (LOX-1) ↓ · SR-A1 ↓; NF-κB ↓ · NLRP3 ↓ · IL-1β ↓; VCAM1 ↓ · ICAM1 ↓ · E-selectin ↓","aqueous; crude extract; extract; methanol, dichloromethane; seed","RAW 264.7; RAW264.7, rats; Sprague-Dawley rats; aging rats; db/db mice; human","10 g/day; 100 mg/kg and 200 mg/kg; 250 mg/kg/day; 300 mg/kg/day; 500 mg twice daily for one month","increased AMPK activity and upregulated ABCA1/G1 expression; inhibited NLRP3 inflammasomes and NF-κB signaling pathway activation; inhibited TNF-α and IL-1β overexpression; protein and mRNA levels of NF-κB significantly decreased and GLP1R levels increased drastically; reduced LDL-C levels in vivo; upregulated ABCA1 and ABCG1 expressions in vitro; suppressed CD36 expression in vitro; reduced LDL-C levels significantly in obese adolescents (p < 0.05); significant decrease in LDL-C levels by -4.35 ± 22.65 mg/dl (P = 0.004); suppressed E-selectin overexpression in aortic tissues of db/db mice",""
"","sialic_acid","new_food","7","N-Acetylneuraminic acid; Sialic Acid","","","Cholesterol efflux; Inflammatory lipid signaling; LDL receptor preservation; Leukocyte adhesion control; Macrophage lipid uptake","Endothelial adhesion molecule regulation pathway; Lipid-induced macrophage activation pathway; PCSK9–LDLR degradation pathway; Reverse cholesterol transport initiation pathway; Scavenger receptor–mediated oxLDL uptake pathway","ABCA1 ↑ · ABCG1 ↑ · ApoA-I interaction ↑; CD36 ↓ · OLR1 (LOX-1) ↓ · SR-A1 ↓; NF-κB ↓ · NLRP3 ↓ · IL-1β ↓; PCSK9 ↓ · LDLR surface stability ↑ · LRP1 ↑; VCAM1 ↓ · ICAM1 ↓ · E-selectin ↓","aqueous; water extract","APP/PS1 mice; HL-60; LDLR[-/-]ApoB[100/100] mice, C57BL/6N control mice; apolipoprotein E-deficient mice; mice; rat lymph node high endothelium, rat cardiac allograft capillaries; rats","30 mg·kg⁻¹ (high dose), 15 mg·kg⁻¹ (low dose); IC50 = 550 μM (sLex blocked binding of sLea-polymer to E-selectin by 50%)","LRP1 is identified as a Siglec-15 counterreceptor; LRP1 expression is impaired in retriever-deficient cells (Vps35l knockout) but no direct effect of N-Acetylneuraminic acid on LRP1 expression/activity is quantified; did not affect CD36, as incubation with CD36 antibody did not abrogate the effect of NBTG on platelet aggregation and ATP release; inhibited NF-κB activation, suppressed IL-1β production, and suppressed NO production; inhibited NF-κB expressions, decreased IL-1β and TNF-α levels, increased SOD activity; inhibited the binding of OmpA-like protein to E-selectin; the enzyme acts poorly on the E-selectin ligand sialyl-Lewisx and its precursor Lewisx; upregulated protein expression of ABCG1 and PPARα",""
"","cannabis_sativa","herb","6","Cannabis sativa; Hemp seed","","caution","Cholesterol efflux; Cholesterol flux balance; Endothelial energy sensing; Hepatic cholesterol sensing; Inflammatory lipid signaling","AMPK endothelial stress-response pathway; Hepatic lipoprotein clearance pathway; Lipid-induced macrophage activation pathway; Reverse cholesterol transport initiation pathway; SREBP2–LDLR cholesterol homeostasis pathway","ABCA1 ↑ · ABCG1 ↑ · ApoA-I interaction ↑; AMPK ↑ · ACC ↓ · Mitochondrial efficiency ↑; ApoB clearance ↑ · LDL particle residence time ↓ · LDL-C ↓ (functional); NF-κB ↓ · NLRP3 ↓ · IL-1β ↓; SREBF2 ↑ · LDLR ↑ · SCAP ↑","['hexane', 'dichloromethane (DCM)', 'ethanol']; hexane; peptide","BV-2; BV2 microglia cells; Chang liver cells; HepG2, HuH-7; MCF-7, A549, Raw 264.7, HepG2","100 µg/mL; IC50 = 59 μM (HMGCoAR), 25 µM (LDLR)","increased protein expression of LDLR, ABCA1, and ABCG1 in HepG2 cells; enhanced ABCG1 and SR-B1 expression in Raw 264.7 macrophages (compared to fenofibrate at 1.0 mg L-1); inhibited NLRP3 inflammasome activation, reduced IL-1β levels, attenuated NF-κB phosphorylation, downregulated STAT3 phosphorylation, and diminished TNF-α levels; reduced LDL-C levels to almost near normal; stimulated AMPK; suppressed TNF-α production, enhanced SIRT1 expression, blocked NF-κB signaling pathway activation by inhibiting phosphorylation of IκBα and NF-κB p65, and reduced reactive oxygen species (ROS) production",""
"","catechin","plant","6","Catechin","","","Cholesterol flux balance; Endothelial energy sensing; Inflammatory lipid signaling; LDL receptor preservation; Leukocyte adhesion control; Macrophage lipid uptake","AMPK endothelial stress-response pathway; Endothelial adhesion molecule regulation pathway; Hepatic lipoprotein clearance pathway; Lipid-induced macrophage activation pathway; PCSK9–LDLR degradation pathway; Scavenger receptor–mediated oxLDL uptake pathway","AMPK ↑ · ACC ↓ · Mitochondrial efficiency ↑; ApoB clearance ↑ · LDL particle residence time ↓ · LDL-C ↓ (functional); CD36 ↓ · OLR1 (LOX-1) ↓ · SR-A1 ↓; NF-κB ↓ · NLRP3 ↓ · IL-1β ↓; PCSK9 ↓ · LDLR surface stability ↑ · LRP1 ↑; VCAM1 ↓ · ICAM1 ↓ · E-selectin ↓","acetonic extract of R. mangle barks (AERM); aqueous; ethanol; freeze-dried extract; red wine polyphenolic extract","ATX mice, C57Bl/6 mice; Cbs (±) mice; HepG2; mice; rat","10 or 50 mg/kg; 30 mg · kg(-1) · day(-1); 5 or 10 μg/mL; 5 or 50 mg/kg/day; 50 μg/day; 500 mg (equivalent to 6 or 7 cups of green tea)","great decrease in the expression of NF-κB and turned off NLRP3 inflammasome and its downstream effectors signal, as caspase-1, IL-1β and IL-18; inhibited E-selectin expression; inhibited PCSK9 expression and increased LDLR expression; inhibited hepatic mRNA levels of CD36; no significant change in plasma LDL-C concentrations; upregulated p-AMPK and p-ACC, and decreased ROS generation",""
"","crocus_sativus","herb","6","Crocus sativus; Saffron","caution","","Cholesterol efflux; Cholesterol flux balance; Endothelial energy sensing; Inflammatory lipid signaling; LDL receptor preservation","AMPK endothelial stress-response pathway; Hepatic lipoprotein clearance pathway; Lipid-induced macrophage activation pathway; PCSK9–LDLR degradation pathway; Reverse cholesterol transport initiation pathway","ABCA1 ↑ · ABCG1 ↑ · ApoA-I interaction ↑; AMPK ↑ · ACC ↓ · Mitochondrial efficiency ↑; ApoB clearance ↑ · LDL particle residence time ↓ · LDL-C ↓ (functional); NF-κB ↓ · NLRP3 ↓ · IL-1β ↓; PCSK9 ↓ · LDLR surface stability ↑ · LRP1 ↑","crude extract; essential oil; ethanolic extract; extract; saffron extract","C57BL/6 mice; NZWR; STZ-induced diabetic rats, isolated cardiac myocytes; Sprague Dawley rats; mice; rat","10 or 20 mg/kg (STZ-induced diabetic rats), 1 or 10 μM (isolated cardiac myocytes); 20 mg/kg; 25 mg/kg, 100 mg/kg; 400 mg/day; 50 mg/kg/day, 100 mg/kg/day","downregulated PCSK9 and sortilin expression, upregulated LDLR, and reduced TNF-α levels. CR reduced plasma PCSK9 secretion by 39.9% (p < 0.05); increased ABCA1 expression levels (not statistically significant); increased AMPK phosphorylation and normalization of SQSTM1/p62 ratio; inhibited NLRP3 activation, reduced IL-1β production, enhanced SIRT1 expression, and upregulated NRF2; neutralized augmented serum levels of non-enzymatic inflammatory mediators including TNF-α, IL-1β, NF-κB, and ROS; re-established antioxidant status of the system (GSH, SOD, CAT and GST); reduced LDL-C levels by 0.51 fold",""
"","ginkgo_biloba","herb","6","Ginkgo biloba","avoid","avoid","Cholesterol efflux; Hepatic cholesterol sensing; Inflammatory lipid signaling; Leukocyte adhesion control; Macrophage lipid uptake; Shear-stress adaptation","Endothelial adhesion molecule regulation pathway; KLF2/KLF4 flow-responsive transcription pathway; Lipid-induced macrophage activation pathway; Reverse cholesterol transport initiation pathway; SREBP2–LDLR cholesterol homeostasis pathway; Scavenger receptor–mediated oxLDL uptake pathway","ABCA1 ↑ · ABCG1 ↑ · ApoA-I interaction ↑; CD36 ↓ · OLR1 (LOX-1) ↓ · SR-A1 ↓; KLF2 ↑ · KLF4 ↑ · Thrombomodulin ↑; NF-κB ↓ · NLRP3 ↓ · IL-1β ↓; SREBF2 ↑ · LDLR ↑ · SCAP ↑; VCAM1 ↓ · ICAM1 ↓ · E-selectin ↓","Ginkgo biloba extract","HUASMCs, THP-1; HUVECs, THP-1; apolipoprotein E-deficient mice; hepatocytes; human umbilical vein endothelial cells (HUVECs); rat","100 mg/kg/day; 12.5-100 microg/ml","activated KLF2 in a dose-dependent manner; increased SREBF2 expression; increased protein stability of ATP-binding cassette transporter A1 (ABCA1) by reducing calpain activity; inhibited Cu,Zn-SOD inactivation, reduced ROS generation, increased endothelial NO synthase expression, and reduced E-selectin expression, all dose dependently; inhibited NLRP3 inflammasome activation by reducing NLRP3 expression and suppressing Caspase-1 and NF-κB P65 nuclear translocation; decreased IL-1β production; reduced CD36 expression levels and increased ABCA1 expression level",""
"","lycium_barbarum","herb","6","Gou Qi Zi; Lycium barbarum; Wolfberry","","","Cholesterol flux balance; Endothelial energy sensing; Inflammatory lipid signaling; Leukocyte adhesion control","AMPK endothelial stress-response pathway; Endothelial adhesion molecule regulation pathway; Hepatic lipoprotein clearance pathway; Lipid-induced macrophage activation pathway","AMPK ↑ · ACC ↓ · Mitochondrial efficiency ↑; ApoB clearance ↑ · LDL particle residence time ↓ · LDL-C ↓ (functional); NF-κB ↓ · NLRP3 ↓ · IL-1β ↓; VCAM1 ↓ · ICAM1 ↓ · E-selectin ↓","Lycium barbarum polysaccharides; nanovesicles; polysaccharides","C2C12, muscle atrophy model mice; C57BL/6J mice, HepG2 cells; mice; rat; rats","1 mg/kg/day; 100 mg/kg; 25, 50, 100 mg•kg[-1]","activated the LKB1/AMPK pathway; activates the AMPK/SIRT1/PGC1α pathway; increased ABCA1 and reduced LDL-C; inhibited NF-κB activation, reduced TNF-α levels, and inhibited E-selectin expression; suppressed the activation of the NF-κB/NLRP3/IL-1β signaling pathway; up-regulates SIRT1 deacetylase activity and protein expression, promotes AMPK phosphorylation via SIRT1-dependent signaling, increases ACC phosphorylation, and increases ATGL protein expression",""
"","notoginseng","plant","6","Notoginseng","","","Cholesterol efflux; Cholesterol flux balance; Endothelial energy sensing; Hepatic cholesterol sensing; Inflammatory lipid signaling; Leukocyte adhesion control","AMPK endothelial stress-response pathway; Endothelial adhesion molecule regulation pathway; Hepatic lipoprotein clearance pathway; Lipid-induced macrophage activation pathway; Reverse cholesterol transport initiation pathway; SREBP2–LDLR cholesterol homeostasis pathway","ABCA1 ↑ · ABCG1 ↑ · ApoA-I interaction ↑; AMPK ↑ · ACC ↓ · Mitochondrial efficiency ↑; ApoB clearance ↑ · LDL particle residence time ↓ · LDL-C ↓ (functional); NF-κB ↓ · NLRP3 ↓ · IL-1β ↓; SREBF2 ↑ · LDLR ↑ · SCAP ↑; VCAM1 ↓ · ICAM1 ↓ · E-selectin ↓","ethanol; n-butanol; saponins","HCT-116, EA.hy926; HUVECs; Sprague-Dawley rats; rat","0.1, 1, and 10 μM; 100 mg/kg, i.p.; 12.5, 25, or 50 mg/kg body weight; 75, 150, or 300 µM (24 h)","Significant (P<0.01) dose-dependent decrease in serum LDL-C and hepatic TC/TG; significant (P<0.01) increase in LDLR mRNA level; significant (P<0.01) induction of ABCA1 expression (LXRalpha target gene); inhibited NF-κB pathway activation, inhibited NLRP3 inflammasome activation, reduced TNFα and IL-1β levels, and reduced NO production in a dose-dependent manner; stimulated phosphorylation of AMPK at Thr-172 and eNOS at Ser-1179; suppressed E-selectin expression by 15% (P = .004)",""
"","panax_quinquefolius","herb","6","American ginseng; Panax quinquefolius","","","Cholesterol flux balance; Endothelial energy sensing; Inflammatory lipid signaling","AMPK endothelial stress-response pathway; Hepatic lipoprotein clearance pathway; Lipid-induced macrophage activation pathway","AMPK ↑ · ACC ↓ · Mitochondrial efficiency ↑; ApoB clearance ↑ · LDL particle residence time ↓ · LDL-C ↓ (functional); NF-κB ↓ · NLRP3 ↓ · IL-1β ↓","saponins; saponins from leaves","HT22, SAMP8 mice; mice; rat","125 and 250 mg/kg daily for 15 days; 150 mg/kg and 300 mg/kg; 3 g/day","activated AMPK/mTOR/ULK1/DRP1 and SIRT1/PGC-1α pathways, promoting Pink1/Parkin-mediated mitophagy; increased SOD and GSH levels, decreased CYP2E1 levels, reduced ROS levels, inhibited TNF-α, IL-1β, and NF-κB activation; reduced ApoB by 9.0 ± 2.3% and LDL-C by 8.3 ± 3.1%; reduced LDL-C by 12.3% (±3.9%); suppressed the NF-κB/NLRP3/IL-1β signaling pathway; the activity of SOD, GSH-PX, and AMPK were measured but no specific quantitative effect of American ginseng on these targets was reported",""
"","phyllanthus_emblica","herb","6","Amla; Indian gooseberry; Phyllanthus emblica","","","Cholesterol flux balance; Endothelial energy sensing; Hepatic cholesterol sensing; Inflammatory lipid signaling; LDL receptor preservation","AMPK endothelial stress-response pathway; Hepatic lipoprotein clearance pathway; Lipid-induced macrophage activation pathway; PCSK9–LDLR degradation pathway; SREBP2–LDLR cholesterol homeostasis pathway","AMPK ↑ · ACC ↓ · Mitochondrial efficiency ↑; ApoB clearance ↑ · LDL particle residence time ↓ · LDL-C ↓ (functional); NF-κB ↓ · NLRP3 ↓ · IL-1β ↓; PCSK9 ↓ · LDLR surface stability ↑ · LRP1 ↑; SREBF2 ↑ · LDLR ↑ · SCAP ↑","aqueous; ethanol; extract; fruit powder","HaCaT, Hs27, B16F10; Wistar rats; mice; rat","100, 200, or 400 mg/kg body weight; 250 mg twice daily, 500 mg twice daily; 60 mg/kg and 120 mg/kg","enhanced AMPK phosphorylation in livers and skeletal muscles, decreased mTORC1 phosphorylation in liver, suppressed ACC activity in liver, elevated GLUT4 expressions in skeletal muscles; modulated the NF-κB/MMPs/cyclooxygenase-2 (COX-2) pathway; reduced LDL-C by 11.39% and 21.8% at 12 weeks with 250 mg and 500 mg twice daily dosages respectively; increased NO by 41.89% and 50.7% at 12 weeks; increased GSH by 24.31% and 53.22% at 12 weeks; reduced TNF-α and IL-1β levels; suppressed the transcript levels of SREBP-1c and increased the expression of LDLR; upregulated LC3B and LRP1 expression; increased SOD levels; reduced TNF-α and IL-1β levels",""
